044340.KQ,위닉스,가정용 기기 제조업
142210.KQ,유니트론텍,기계장비 및 관련 물품 도매업
221200.KQ,유진스팩3호,금융 지원 서비스업
191410.KQ,육일씨엔에쓰,전자부품 제조업
033110.KQ,이디,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
041520.KQ,이라이콤,전자부품 제조업
036260.KQ,이매진아시아,"영화, 비디오물, 방송프로그램 제작 및 배급업"
080010.KQ,이상네트웍스,상품 중개업
900110.KQ,이스트아시아홀딩스,기타 금융업
083640.KQ,인콘,통신 및 방송 장비 제조업
065530.KQ,전파기지국,전기 통신업
054950.KQ,제이브이엠,일반 목적용 기계 제조업
023440.KQ,제일제강,1차 철강 제조업
041590.KQ,젬백스테크놀러지,전자부품 제조업
101730.KQ,조이맥스,소프트웨어 개발 및 공급업
036930.KQ,주성엔지니어링,특수 목적용 기계 제조업
053050.KQ,지에스이,연료용 가스 제조 및 배관공급업
115450.KQ,지트리비앤티,전자부품 제조업
018120.KQ,진로발효,알코올음료 제조업
016920.KQ,카스,기계장비 및 관련 물품 도매업
078340.KQ,컴투스,소프트웨어 개발 및 공급업
221980.KQ,케이디켐,기타 화학제품 제조업
232270.KQ,케이비제9호스팩,금융 지원 서비스업
123410.KQ,코리아에프티,자동차 신품 부품 제조업
049430.KQ,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
040350.KQ,큐로컴,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
115180.KQ,큐리언트,자연과학 및 공학 연구개발업
219130.KQ,타이거일렉,전자부품 제조업
053620.KQ,태양,기타 금속 가공제품 제조업
038540.KQ,텍셀네트컴,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
051360.KQ,토비스,영상 및 음향기기 제조업
043200.KQ,파루,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
170790.KQ,파이오링크,통신 및 방송 장비 제조업
106240.KQ,파인테크닉스,통신 및 방송 장비 제조업
054300.KQ,팬스타엔터프라이즈,일반 목적용 기계 제조업
263750.KQ,펄어비스,소프트웨어 개발 및 공급업
043370.KQ,평화정공,자동차 신품 부품 제조업
016670.KQ,포비스티앤씨,기타 전문 도매업
035200.KQ,프럼파스트,플라스틱제품 제조업
031980.KQ,피에스케이,특수 목적용 기계 제조업
221840.KQ,하이즈항공,"항공기,우주선 및 부품 제조업"
240540.KQ,한국4호스팩,금융 지원 서비스업
025770.KQ,한국정보통신,전기 통신업
281410.KQ,한국제6호스팩,금융 지원 서비스업
052600.KQ,한네트,전기 통신업
