006980.KS,우성사료,"곡물가공품, 전분 및 전분제품 제조업"
072130.KS,유엔젤,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
003460.KS,유화증권,금융 지원 서비스업
008730.KS,율촌화학,플라스틱제품 제조업
014990.KS,인디에프,봉제의복 제조업
013360.KS,일성건설,토목 건설업
000950.KS,전방,방적 및 가공사 제조업
002620.KS,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업
120030.KS,조선선재,기타 금속 가공제품 제조업
013870.KS,지엠비코리아,자동차 신품 부품 제조업
012600.KS,청호컴넷,일반 목적용 기계 제조업
009070.KS,케이씨티시,도로 화물 운송업
033780.KS,케이티앤지,담배 제조업
192820.KS,코스맥스,기타 화학제품 제조업
005070.KS,코스모신소재,기타 화학제품 제조업
071950.KS,코아스,가구 제조업
192400.KS,쿠쿠홀딩스,가정용 기기 제조업
007980.KS,태평양물산,봉제의복 제조업
140890.KS,트러스제7호,부동산 임대 및 공급업
090080.KS,평화산업,자동차 신품 부품 제조업
010040.KS,한국내화,"내화, 비내화 요업제품 제조업"
002960.KS,한국쉘석유,석유 정제품 제조업
025890.KS,한국주강,특수 목적용 기계 제조업
034830.KS,한국토지신탁,신탁업 및 집합투자업
011500.KS,한농화성,기타 화학제품 제조업
002390.KS,한독,의약품 제조업
069640.KS,한세엠케이,"섬유, 의복, 신발 및 가죽제품 소매업"
016450.KS,한세예스24홀딩스,기타 금융업
004150.KS,한솔홀딩스,기타 금융업
000880.KS,한화,기타 화학제품 제조업
009830.KS,한화케미칼,기초 화학물질 제조업
003530.KS,한화투자증권,금융 지원 서비스업
002460.KS,화성산업,건물 건설업
093370.KS,후성,기초 화학물질 제조업
079160.KS,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업"
012030.KS,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
096760.KS,JW홀딩스,기타 금융업
119650.KS,KC코트렐,일반 목적용 기계 제조업
011070.KS,LG이노텍,전자부품 제조업
008260.KS,NI스틸,1차 철강 제조업
003570.KS,S&T중공업,자동차 신품 부품 제조업
018670.KS,SK가스,기타 전문 도매업
017670.KS,SK텔레콤,전기 통신업
000860.KS,강남제비스코,기타 화학제품 제조업
267290.KS,경동도시가스,연료용 가스 제조 및 배관공급업
012610.KS,경인양행,기초 화학물질 제조업
013580.KS,계룡건설산업,토목 건설업
010130.KS,고려아연,1차 비철금속 제조업
001140.KS,국보,도로 화물 운송업
002720.KS,국제약품,의약품 제조업
014280.KS,금강공업,1차 철강 제조업
001570.KS,금양,기초 화학물질 제조업
024110.KS,기업은행,은행 및 저축기관
251270.KS,넷마블게임즈,소프트웨어 개발 및 공급업
090350.KS,노루페인트,기타 화학제품 제조업
000320.KS,노루홀딩스,기타 금융업
019680.KS,대교,초등 교육기관
012510.KS,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
145720.KS,덴티움,의료용 기기 제조업
083370.KS,동북아12호선박투자,운송장비 임대업
084670.KS,동양고속,육상 여객 운송업
049770.KS,동원F&B,기타 식품 제조업
006040.KS,동원산업,어로 어업
023530.KS,롯데쇼핑,종합 소매업
012690.KS,모나리자,기타 종이 및 판지 제품 제조업
035150.KS,백산,플라스틱제품 제조업
003850.KS,보령제약,의약품 제조업
005030.KS,부산주공,자동차 신품 부품 제조업
000070.KS,삼양홀딩스,기타 금융업
002450.KS,삼익악기,악기 제조업
014910.KS,성문전자,전자부품 제조업
000180.KS,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
004170.KS,신세계,종합 소매업
001720.KS,신영증권,금융 지원 서비스업
005450.KS,신한,건물 건설업
055550.KS,신한지주,기타 금융업
003620.KS,쌍용자동차,자동차용 엔진 및 자동차 제조업
140910.KS,에이리츠,부동산 임대 및 공급업
085310.KS,엔케이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
009810.KS,엔케이물산,기타 전문 도매업
000670.KS,영풍,1차 비철금속 제조업
010050.KS,우리종금,기타 금융업
049800.KS,우진플라임,특수 목적용 기계 제조업
002920.KS,유성기업,자동차 신품 부품 제조업
005950.KS,이수화학,기초 화학물질 제조업
007110.KS,일신석재,"건축자재, 철물 및 난방장치 도매업"
020760.KS,일진디스플,반도체 제조업
271980.KS,제일약품,의약품 제조업
002600.KS,조흥,기타 식품 제조업
010580.KS,지코,자동차 신품 부품 제조업
088790.KS,진도,기타 전문 도매업
035720.KS,카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
058860.KS,케이티스,기타 정보 서비스업
078000.KS,텔코웨어,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
084870.KS,티비에이치글로벌,봉제의복 제조업
